"","row","col","value"
"146","Sonneratia caeseolaris (L.) Engl.","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"147","sonneratia apetala Buch. - Ham","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"148","Sonneratia griffithi Kurz ","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"149","Heritiera globosa Kostermans","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"150","Heritiera fomes Buch.-Ham","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"151","Heritiera littoralis Dryand","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"152","Xylocarpus granatum J. Konig","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"153","Xylocarpus mekongensis Pierre. ","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"154","Xylocarpus moluccensis (Lamk.)","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"155","Phoenix paludosa Roxb.","Nypa fruticans (Thunb.) Wurmb. ",79.894340345389
"156","Aegialitis rotundifolia Roxb.","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"157","Aegiceras corniculatum (L.) Blanco","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"158","Acrostichum aureum L.","Nypa fruticans (Thunb.) Wurmb. ",79.894340345389
"159","Bruguiera cylindrica (L.) Blume","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"160","Bruguiera gymnorrhiza (L.) Savigny","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"161","Bruguiera sexangula (Lour.) Poir.","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"162","Bruguiera parviflora","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"163","Ceriops decandra (Griff) Ding Hou","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"164","Ceriops tagal (Perr. C. B. Roby)","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"165","Kandelia candel Druce","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"166","Rhizophora apiculata Blume","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"167","Rhizophorata mucronata Lamk","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"168","Rhizophora annamalayana Kathiresan","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"169","Scyphiphora hydrophyllacea C. F. Gaertn","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"170","Brownlowia tersa (L.) Kosterm ","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"171","Acanthus ilicifolius Linnaeus","Lumnitzera racemosa Willd.",73.192453793852
"172","Avicennia alba Blume","Lumnitzera racemosa Willd.",73.192453793852
"173","Avicennia marina (Forsk.) Vierh","Lumnitzera racemosa Willd.",73.192453793852
"174","Avicennia officinalis L.","Lumnitzera racemosa Willd.",73.192453793852
"175","Nypa fruticans (Thunb.) Wurmb. ","Lumnitzera racemosa Willd.",73.192453793852
"176","Lumnitzera racemosa Willd.","Lumnitzera racemosa Willd.",0
"177","Exocoecaria agallocha L.","Lumnitzera racemosa Willd.",53.0867941392409
"178","Cynometra ramiflora L.","Lumnitzera racemosa Willd.",53.0867941392409
"179","Sonneratia alba J. Smith","Lumnitzera racemosa Willd.",51.5402049350401
"180","Sonneratia caeseolaris (L.) Engl.","Lumnitzera racemosa Willd.",31.434545280429
"181","sonneratia apetala Buch. - Ham","Lumnitzera racemosa Willd.",31.434545280429
"182","Sonneratia griffithi Kurz ","Lumnitzera racemosa Willd.",31.434545280429
"183","Heritiera globosa Kostermans","Lumnitzera racemosa Willd.",73.192453793852
"184","Heritiera fomes Buch.-Ham","Lumnitzera racemosa Willd.",73.192453793852
"185","Heritiera littoralis Dryand","Lumnitzera racemosa Willd.",73.192453793852
"186","Xylocarpus granatum J. Konig","Lumnitzera racemosa Willd.",53.0867941392409
"187","Xylocarpus mekongensis Pierre. ","Lumnitzera racemosa Willd.",53.0867941392409
"188","Xylocarpus moluccensis (Lamk.)","Lumnitzera racemosa Willd.",53.0867941392409
"189","Phoenix paludosa Roxb.","Lumnitzera racemosa Willd.",100
"190","Aegialitis rotundifolia Roxb.","Lumnitzera racemosa Willd.",73.192453793852
"191","Aegiceras corniculatum (L.) Blanco","Lumnitzera racemosa Willd.",73.192453793852
"192","Acrostichum aureum L.","Lumnitzera racemosa Willd.",100
"193","Bruguiera cylindrica (L.) Blume","Lumnitzera racemosa Willd.",53.0867941392409
"194","Bruguiera gymnorrhiza (L.) Savigny","Lumnitzera racemosa Willd.",53.0867941392409
"195","Bruguiera sexangula (Lour.) Poir.","Lumnitzera racemosa Willd.",53.0867941392409
"196","Bruguiera parviflora","Lumnitzera racemosa Willd.",53.0867941392409
"197","Ceriops decandra (Griff) Ding Hou","Lumnitzera racemosa Willd.",53.0867941392409
"198","Ceriops tagal (Perr. C. B. Roby)","Lumnitzera racemosa Willd.",53.0867941392409
"199","Kandelia candel Druce","Lumnitzera racemosa Willd.",53.0867941392409
"200","Rhizophora apiculata Blume","Lumnitzera racemosa Willd.",53.0867941392409
"201","Rhizophorata mucronata Lamk","Lumnitzera racemosa Willd.",53.0867941392409
"202","Rhizophora annamalayana Kathiresan","Lumnitzera racemosa Willd.",53.0867941392409
"203","Scyphiphora hydrophyllacea C. F. Gaertn","Lumnitzera racemosa Willd.",73.192453793852
"204","Brownlowia tersa (L.) Kosterm ","Lumnitzera racemosa Willd.",73.192453793852
"205","Acanthus ilicifolius Linnaeus","Exocoecaria agallocha L.",73.192453793852
"206","Avicennia alba Blume","Exocoecaria agallocha L.",73.192453793852
"207","Avicennia marina (Forsk.) Vierh","Exocoecaria agallocha L.",73.192453793852
"208","Avicennia officinalis L.","Exocoecaria agallocha L.",73.192453793852
"209","Nypa fruticans (Thunb.) Wurmb. ","Exocoecaria agallocha L.",73.192453793852
"210","Lumnitzera racemosa Willd.","Exocoecaria agallocha L.",53.0867941392409
"211","Exocoecaria agallocha L.","Exocoecaria agallocha L.",0
"212","Cynometra ramiflora L.","Exocoecaria agallocha L.",53.0867941392409
"213","Sonneratia alba J. Smith","Exocoecaria agallocha L.",73.192453793852
"214","Sonneratia caeseolaris (L.) Engl.","Exocoecaria agallocha L.",53.0867941392409
"215","sonneratia apetala Buch. - Ham","Exocoecaria agallocha L.",53.0867941392409
"216","Sonneratia griffithi Kurz ","Exocoecaria agallocha L.",53.0867941392409
"217","Heritiera globosa Kostermans","Exocoecaria agallocha L.",73.192453793852
"218","Heritiera fomes Buch.-Ham","Exocoecaria agallocha L.",73.192453793852
"219","Heritiera littoralis Dryand","Exocoecaria agallocha L.",73.192453793852
"220","Xylocarpus granatum J. Konig","Exocoecaria agallocha L.",53.0867941392409
"221","Xylocarpus mekongensis Pierre. ","Exocoecaria agallocha L.",53.0867941392409
"222","Xylocarpus moluccensis (Lamk.)","Exocoecaria agallocha L.",53.0867941392409
"223","Phoenix paludosa Roxb.","Exocoecaria agallocha L.",100
"224","Aegialitis rotundifolia Roxb.","Exocoecaria agallocha L.",73.192453793852
"225","Aegiceras corniculatum (L.) Blanco","Exocoecaria agallocha L.",73.192453793852
"226","Acrostichum aureum L.","Exocoecaria agallocha L.",100
"227","Bruguiera cylindrica (L.) Blume","Exocoecaria agallocha L.",53.0867941392409
"228","Bruguiera gymnorrhiza (L.) Savigny","Exocoecaria agallocha L.",53.0867941392409
"229","Bruguiera sexangula (Lour.) Poir.","Exocoecaria agallocha L.",53.0867941392409
"230","Bruguiera parviflora","Exocoecaria agallocha L.",53.0867941392409
"231","Ceriops decandra (Griff) Ding Hou","Exocoecaria agallocha L.",53.0867941392409
"232","Ceriops tagal (Perr. C. B. Roby)","Exocoecaria agallocha L.",53.0867941392409
"233","Kandelia candel Druce","Exocoecaria agallocha L.",53.0867941392409
"234","Rhizophora apiculata Blume","Exocoecaria agallocha L.",53.0867941392409
"235","Rhizophorata mucronata Lamk","Exocoecaria agallocha L.",53.0867941392409
"236","Rhizophora annamalayana Kathiresan","Exocoecaria agallocha L.",53.0867941392409
"237","Scyphiphora hydrophyllacea C. F. Gaertn","Exocoecaria agallocha L.",73.192453793852
"238","Brownlowia tersa (L.) Kosterm ","Exocoecaria agallocha L.",73.192453793852
"239","Acanthus ilicifolius Linnaeus","Cynometra ramiflora L.",73.192453793852
"240","Avicennia alba Blume","Cynometra ramiflora L.",73.192453793852
"241","Avicennia marina (Forsk.) Vierh","Cynometra ramiflora L.",73.192453793852
"242","Avicennia officinalis L.","Cynometra ramiflora L.",73.192453793852
"243","Nypa fruticans (Thunb.) Wurmb. ","Cynometra ramiflora L.",73.192453793852
"244","Lumnitzera racemosa Willd.","Cynometra ramiflora L.",53.0867941392409
"245","Exocoecaria agallocha L.","Cynometra ramiflora L.",53.0867941392409
"246","Cynometra ramiflora L.","Cynometra ramiflora L.",0
"247","Sonneratia alba J. Smith","Cynometra ramiflora L.",73.192453793852
"248","Sonneratia caeseolaris (L.) Engl.","Cynometra ramiflora L.",53.0867941392409
"249","sonneratia apetala Buch. - Ham","Cynometra ramiflora L.",53.0867941392409
"250","Sonneratia griffithi Kurz ","Cynometra ramiflora L.",53.0867941392409
"251","Heritiera globosa Kostermans","Cynometra ramiflora L.",73.192453793852
"252","Heritiera fomes Buch.-Ham","Cynometra ramiflora L.",73.192453793852
"253","Heritiera littoralis Dryand","Cynometra ramiflora L.",73.192453793852
"254","Xylocarpus granatum J. Konig","Cynometra ramiflora L.",53.0867941392409
"255","Xylocarpus mekongensis Pierre. ","Cynometra ramiflora L.",53.0867941392409
"256","Xylocarpus moluccensis (Lamk.)","Cynometra ramiflora L.",53.0867941392409
"257","Phoenix paludosa Roxb.","Cynometra ramiflora L.",100
"258","Aegialitis rotundifolia Roxb.","Cynometra ramiflora L.",73.192453793852
"259","Aegiceras corniculatum (L.) Blanco","Cynometra ramiflora L.",73.192453793852
"260","Acrostichum aureum L.","Cynometra ramiflora L.",100
"261","Bruguiera cylindrica (L.) Blume","Cynometra ramiflora L.",53.0867941392409
"262","Bruguiera gymnorrhiza (L.) Savigny","Cynometra ramiflora L.",53.0867941392409
"263","Bruguiera sexangula (Lour.) Poir.","Cynometra ramiflora L.",53.0867941392409
"264","Bruguiera parviflora","Cynometra ramiflora L.",53.0867941392409
"265","Ceriops decandra (Griff) Ding Hou","Cynometra ramiflora L.",53.0867941392409
"266","Ceriops tagal (Perr. C. B. Roby)","Cynometra ramiflora L.",53.0867941392409
"267","Kandelia candel Druce","Cynometra ramiflora L.",53.0867941392409
"268","Rhizophora apiculata Blume","Cynometra ramiflora L.",53.0867941392409
"269","Rhizophorata mucronata Lamk","Cynometra ramiflora L.",53.0867941392409
"270","Rhizophora annamalayana Kathiresan","Cynometra ramiflora L.",53.0867941392409
"271","Scyphiphora hydrophyllacea C. F. Gaertn","Cynometra ramiflora L.",73.192453793852
"272","Brownlowia tersa (L.) Kosterm ","Cynometra ramiflora L.",73.192453793852
"273","Acanthus ilicifolius Linnaeus","Sonneratia alba J. Smith",73.192453793852
"274","Avicennia alba Blume","Sonneratia alba J. Smith",73.192453793852
"275","Avicennia marina (Forsk.) Vierh","Sonneratia alba J. Smith",73.192453793852
"276","Avicennia officinalis L.","Sonneratia alba J. Smith",73.192453793852
"277","Nypa fruticans (Thunb.) Wurmb. ","Sonneratia alba J. Smith",73.192453793852
"278","Lumnitzera racemosa Willd.","Sonneratia alba J. Smith",51.5402049350401
"279","Exocoecaria agallocha L.","Sonneratia alba J. Smith",73.192453793852
"280","Cynometra ramiflora L.","Sonneratia alba J. Smith",73.192453793852
"281","Sonneratia alba J. Smith","Sonneratia alba J. Smith",0
"282","Sonneratia caeseolaris (L.) Engl.","Sonneratia alba J. Smith",37.8459475851502
"283","sonneratia apetala Buch. - Ham","Sonneratia alba J. Smith",37.8459475851502
"284","Sonneratia griffithi Kurz ","Sonneratia alba J. Smith",37.8459475851502
"285","Heritiera globosa Kostermans","Sonneratia alba J. Smith",73.192453793852
"286","Heritiera fomes Buch.-Ham","Sonneratia alba J. Smith",73.192453793852
"287","Heritiera littoralis Dryand","Sonneratia alba J. Smith",73.192453793852
"288","Xylocarpus granatum J. Konig","Sonneratia alba J. Smith",73.192453793852
"289","Xylocarpus mekongensis Pierre. ","Sonneratia alba J. Smith",73.192453793852
"290","Xylocarpus moluccensis (Lamk.)","Sonneratia alba J. Smith",73.192453793852
"291","Phoenix paludosa Roxb.","Sonneratia alba J. Smith",100
"292","Aegialitis rotundifolia Roxb.","Sonneratia alba J. Smith",73.192453793852
"293","Aegiceras corniculatum (L.) Blanco","Sonneratia alba J. Smith",53.0867941392409
"294","Acrostichum aureum L.","Sonneratia alba J. Smith",100
"295","Bruguiera cylindrica (L.) Blume","Sonneratia alba J. Smith",73.192453793852
"296","Bruguiera gymnorrhiza (L.) Savigny","Sonneratia alba J. Smith",73.192453793852
"297","Bruguiera sexangula (Lour.) Poir.","Sonneratia alba J. Smith",73.192453793852
"298","Bruguiera parviflora","Sonneratia alba J. Smith",73.192453793852
"299","Ceriops decandra (Griff) Ding Hou","Sonneratia alba J. Smith",73.192453793852
"300","Ceriops tagal (Perr. C. B. Roby)","Sonneratia alba J. Smith",73.192453793852
"301","Kandelia candel Druce","Sonneratia alba J. Smith",73.192453793852
